State,Revenue,Sales,Outlier,Outlier_Label
AK,1127761.3,5663820.0,False,Normal
AL,8445402.9,82856055.0,False,Normal
AR,3780196.8000000003,45776200.0,False,Normal
AZ,8148993.1,77491407.0,False,Normal
CA,43441886.9,331716319.0,True,Outlier
CN,706483.3,6350964.0,False,Normal
CO,5475639.3,58757846.0,False,Normal
CT,4950695.8,38003069.0,False,Normal
DC,2126702.8,25904759.0,False,Normal
DE,1357669.0,15597266.0,False,Normal
FL,20918231.1,205960537.0,False,Normal
GA,13776753.8,139558621.0,False,Normal
HI,2671501.5,9200694.0,False,Normal
IA,5254938.8,61242890.0,False,Normal
ID,1421311.8,17947382.0,False,Normal
IL,7791691.4,120787635.0,False,Normal
IN,10255973.2,101211412.0,False,Normal
KS,3493068.2,34435365.0,False,Normal
KY,5772532.6,66167875.0,False,Normal
LA,6533507.0,86391183.0,False,Normal
MA,4068510.6999999997,33470228.0,False,Normal
MD,11312076.0,173467326.0,False,Normal
ME,1453269.5,13547843.0,False,Normal
MI,10841272.6,97431947.0,False,Normal
MN,8196098.100000001,79762127.0,False,Normal
MO,9871915.8,121674042.0,False,Normal
MS,4378499.4,44349251.0,False,Normal
MT,1184130.5999999999,14231369.0,False,Normal
NC,19759059.1,201057501.0,False,Normal
ND,1638243.4,18365631.0,False,Normal
NE,2728592.7,30031802.0,False,Normal
NH,1436570.1,11197257.0,False,Normal
NJ,5521023.2,55855046.0,False,Normal
NM,1661538.0999999999,16455419.0,False,Normal
NV,3144453.2,38005930.0,False,Normal
NY,22237916.5,216840169.0,False,Normal
OH,17828038.3,273877518.0,True,Outlier
OK,6693660.399999999,84399508.0,False,Normal
OR,7736489.1,97283232.0,False,Normal
PA,13518374.8,218196746.0,False,Normal
RI,1191268.5,8713453.0,False,Normal
SC,5618703.6,52443418.0,False,Normal
SD,1427186.8,13515277.0,False,Normal
TN,10175709.4,112275417.0,False,Normal
TX,40835595.7,502050278.0,True,Outlier
UT,760192.2,7924926.0,False,Normal
VA,10851945.299999999,118638399.0,False,Normal
VT,829586.2000000001,5405374.0,False,Normal
WA,7138807.2,85671486.0,False,Normal
WI,6843384.600000001,64913097.0,False,Normal
WV,28474.0,205107.0,False,Normal
WY,511631.9,5581020.0,False,Normal
